,Rank_x,Name,Successful tackles,Season,Rank_y,Tackle points,Rank,Position,Matches played,Avg tackle points,Team
916,23.0,Sombir,33.0,SEASON 5,20.0,39.0,17.0,"Defender, Right Corner",17.0,2.29,Telugu Titans
917,24.0,Shrikant Tewthia,31.0,SEASON 5,24.0,36.0,36.0,All Rounder,23.0,1.57,Bengal Warriors
918,25.0,Kuldeep Singh,30.0,SEASON 5,26.0,32.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
919,25.0,Kuldeep Singh,30.0,SEASON 5,26.0,32.0,37.0,All Rounder,20.0,1.55,U Mumba
920,25.0,Kuldeep Singh,30.0,SEASON 5,26.0,32.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
921,25.0,Kuldeep Singh,30.0,SEASON 5,28.0,31.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
922,25.0,Kuldeep Singh,30.0,SEASON 5,28.0,31.0,37.0,All Rounder,20.0,1.55,U Mumba
923,25.0,Kuldeep Singh,30.0,SEASON 5,28.0,31.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
924,25.0,Kuldeep Singh,30.0,SEASON 5,85.0,7.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
925,25.0,Kuldeep Singh,30.0,SEASON 5,85.0,7.0,37.0,All Rounder,20.0,1.55,U Mumba
926,25.0,Kuldeep Singh,30.0,SEASON 5,85.0,7.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
927,32.0,Kuldeep Singh,25.0,SEASON 5,26.0,32.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
928,32.0,Kuldeep Singh,25.0,SEASON 5,26.0,32.0,37.0,All Rounder,20.0,1.55,U Mumba
929,32.0,Kuldeep Singh,25.0,SEASON 5,26.0,32.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
930,32.0,Kuldeep Singh,25.0,SEASON 5,28.0,31.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
931,32.0,Kuldeep Singh,25.0,SEASON 5,28.0,31.0,37.0,All Rounder,20.0,1.55,U Mumba
932,32.0,Kuldeep Singh,25.0,SEASON 5,28.0,31.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
933,32.0,Kuldeep Singh,25.0,SEASON 5,85.0,7.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
934,32.0,Kuldeep Singh,25.0,SEASON 5,85.0,7.0,37.0,All Rounder,20.0,1.55,U Mumba
935,32.0,Kuldeep Singh,25.0,SEASON 5,85.0,7.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
936,84.0,Kuldeep Singh,6.0,SEASON 5,26.0,32.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
937,84.0,Kuldeep Singh,6.0,SEASON 5,26.0,32.0,37.0,All Rounder,20.0,1.55,U Mumba
938,84.0,Kuldeep Singh,6.0,SEASON 5,26.0,32.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
939,84.0,Kuldeep Singh,6.0,SEASON 5,28.0,31.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
940,84.0,Kuldeep Singh,6.0,SEASON 5,28.0,31.0,37.0,All Rounder,20.0,1.55,U Mumba
941,84.0,Kuldeep Singh,6.0,SEASON 5,28.0,31.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
942,84.0,Kuldeep Singh,6.0,SEASON 5,85.0,7.0,19.0,"Defender, Left Corner",16.0,2.0,Bengaluru Bulls
943,84.0,Kuldeep Singh,6.0,SEASON 5,85.0,7.0,37.0,All Rounder,20.0,1.55,U Mumba
944,84.0,Kuldeep Singh,6.0,SEASON 5,85.0,7.0,41.0,All Rounder,5.0,1.4,Haryana Steelers
945,25.0,C. Arun,30.0,SEASON 5,25.0,35.0,30.0,"Defender, Left Cover",20.0,1.75,Tamil Thalaivas
946,27.0,Somvir Shekhar,29.0,SEASON 5,29.0,30.0,45.0,"Defender, Right Cover",22.0,1.36,Jaipur Pink Panthers
947,27.0,Sagar B Krishna,29.0,SEASON 5,26.0,32.0,26.0,All Rounder,17.0,1.88,Up Yoddha
948,27.0,Monu,29.0,SEASON 5,29.0,30.0,35.0,Raider,19.0,1.58,Puneri Paltan
949,30.0,Ravi Kumar,28.0,SEASON 5,29.0,30.0,48.0,"Defender, Right Cover",23.0,1.3,Puneri Paltan
950,31.0,Jawahar Dagar,26.0,SEASON 5,32.0,29.0,32.0,Raider,18.0,1.61,Patna Pirates
951,33.0,Sunil,24.0,SEASON 5,35.0,25.0,42.0,"Defender, Left Corner",18.0,1.39,Dabang Delhi Kc
952,33.0,Rohit Rana,24.0,SEASON 5,37.0,24.0,59.0,"Defender, Left Cover",21.0,1.14,Telugu Titans
953,33.0,Dharmaraj Cheralathan,24.0,SEASON 5,35.0,25.0,42.0,"Defender, Right And Left Corner",18.0,1.39,Puneri Paltan
954,33.0,Vikash,24.0,SEASON 5,34.0,26.0,44.0,"Defender, Right Corner",19.0,1.37,Haryana Steelers
955,33.0,Vikash,24.0,SEASON 5,34.0,26.0,51.0,All Rounder,4.0,1.25,Bengal Warriors
956,33.0,Vikash,24.0,SEASON 5,95.0,5.0,44.0,"Defender, Right Corner",19.0,1.37,Haryana Steelers
957,33.0,Vikash,24.0,SEASON 5,95.0,5.0,51.0,All Rounder,4.0,1.25,Bengal Warriors
958,90.0,Vikash,5.0,SEASON 5,34.0,26.0,44.0,"Defender, Right Corner",19.0,1.37,Haryana Steelers
959,90.0,Vikash,5.0,SEASON 5,34.0,26.0,51.0,All Rounder,4.0,1.25,Bengal Warriors
960,90.0,Vikash,5.0,SEASON 5,95.0,5.0,44.0,"Defender, Right Corner",19.0,1.37,Haryana Steelers
961,90.0,Vikash,5.0,SEASON 5,95.0,5.0,51.0,All Rounder,4.0,1.25,Bengal Warriors
962,33.0,Sidharth,24.0,SEASON 5,33.0,27.0,49.0,All Rounder,21.0,1.29,Jaipur Pink Panthers
963,38.0,Rakesh Singh Kumar,23.0,SEASON 5,37.0,24.0,50.0,"Defender, Left Cover",19.0,1.26,Haryana Steelers
964,39.0,Farhad Rahimi Milaghardan,22.0,SEASON 5,41.0,22.0,56.0,"Defender, Right Cover",18.0,1.22,Telugu Titans
965,39.0,Satpal,22.0,SEASON 5,37.0,24.0,14.0,"Defender, Right Corner",10.0,2.4,Dabang Delhi Kc
966,41.0,Sachin Shingade,21.0,SEASON 5,41.0,22.0,72.0,"Defender, Left Cover",26.0,0.85,Patna Pirates
967,42.0,Anup Kumar,19.0,SEASON 5,40.0,23.0,61.0,Raider,21.0,1.1,U Mumba
968,42.0,Nilesh Shinde,19.0,SEASON 5,45.0,20.0,46.0,"Defender, Right Corner",15.0,1.33,Dabang Delhi Kc
969,42.0,D. Pradap,19.0,SEASON 5,45.0,20.0,51.0,All Rounder,16.0,1.25,Tamil Thalaivas
970,42.0,Nitin Rawal,19.0,SEASON 5,45.0,20.0,70.0,Defender,21.0,0.95,Jaipur Pink Panthers
971,46.0,Ziaur Rahman,18.0,SEASON 5,45.0,20.0,51.0,"Defender, Left Cover",16.0,1.25,Puneri Paltan
972,47.0,Manish,17.0,SEASON 5,41.0,22.0,69.0,"Defender, Right Cover",23.0,0.96,Patna Pirates
973,47.0,Hadi Oshtorak,17.0,SEASON 5,45.0,20.0,51.0,All Rounder,16.0,1.25,U Mumba
974,47.0,Rinku Narwal,17.0,SEASON 5,44.0,21.0,31.0,"Defender, Left Corner",13.0,1.62,Puneri Paltan
975,50.0,Viraj Vishnu Landge,16.0,SEASON 5,50.0,16.0,73.0,"Defender, Left Cover",19.0,0.84,Dabang Delhi Kc
976,50.0,Pankaj,16.0,SEASON 5,50.0,16.0,55.0,All Rounder,13.0,1.23,Up Yoddha
977,52.0,Santhapanaselvam,15.0,SEASON 5,55.0,15.0,38.0,All Rounder,10.0,1.5,Jaipur Pink Panthers
978,52.0,Sunil Siddhgavali,15.0,SEASON 5,50.0,16.0,46.0,Raider,12.0,1.33,Jaipur Pink Panthers
979,52.0,Rajesh Narwal,15.0,SEASON 5,50.0,16.0,63.0,All Rounder,16.0,1.0,Up Yoddha
980,52.0,Rakesh Kumar,15.0,SEASON 5,50.0,16.0,33.0,All Rounder,10.0,1.6,Telugu Titans
981,56.0,Ashish Kumar,14.0,SEASON 5,55.0,15.0,79.0,"Defender, Right Cover",20.0,0.75,Bengaluru Bulls
